"","Duration..in.seconds.","RecordedDate","UserLanguage","Dem_age","Dem_gender","Dem_edu","Dem_edu_mom","Dem_employment","Country","Dem_Expat","Dem_state","Dem_maritalstatus","Dem_dependents","Dem_riskgroup","Dem_islolation","Dem_isolation_adults","Dem_isolation_kids","AD_gain","AD_loss","AD_check","Scale_PSS10_UCLA_1","Scale_PSS10_UCLA_2","Scale_PSS10_UCLA_3","Scale_PSS10_UCLA_4","Scale_PSS10_UCLA_5","Scale_PSS10_UCLA_6","Scale_PSS10_UCLA_7","Scale_PSS10_UCLA_8","Scale_PSS10_UCLA_9","Scale_PSS10_UCLA_10","Scale_SLON_1","Scale_SLON_2","Scale_SLON_3","OECD_people_1","OECD_people_2","OECD_insititutions_1","OECD_insititutions_2","OECD_insititutions_3","OECD_insititutions_4","OECD_insititutions_5","OECD_insititutions_6","Corona_concerns_1","Corona_concerns_2","Corona_concerns_3","Corona_concerns_4","Corona_concerns_5","Trust_countrymeasure","Compliance_1","Compliance_2","Compliance_3","Compliance_4","Compliance_5","Compliance_6","born_92","experience_war","experience_war_TXT","war_injury","loss_during_war","time_spent_in_war","time_spent_in_war_TXT","Scale_UCLA_TRI_1","Scale_UCLA_TRI_2","Scale_UCLA_TRI_3","Scale_UCLA_TRI_4","PS_PTSD_1","PS_PTSD_2","PS_PTSD_3","PS_PTSD_4","PS_PTSD_5","BFF_15_1","BFF_15_2","BFF_15_3","BFF_15_4","BFF_15_5","BFF_15_6","BFF_15_7","BFF_15_8","BFF_15_9","BFF_15_10","BFF_15_11","BFF_15_12","BFF_15_13","BFF_15_14","BFF_15_15","Expl_Distress_1","Expl_Distress_2","Expl_Distress_3","Expl_Distress_4","Expl_Distress_5","Expl_Distress_6","Expl_Distress_7","Expl_Distress_8","Expl_Distress_9","Expl_Distress_10","Expl_Distress_11","Expl_Distress_12","Expl_Distress_13","Expl_Distress_14","Expl_Distress_15","Expl_Distress_16","Expl_Distress_17","Expl_Distress_18","Expl_Distress_19","Expl_Distress_20","Expl_Distress_21","Expl_Distress_22","Expl_Distress_23","Expl_Distress_24","Expl_Distress_txt","SPS_1","SPS_2","SPS_3","SPS_4","SPS_5","SPS_6","SPS_7","SPS_8","SPS_9","SPS_10","Expl_Coping_1","Expl_Coping_2","Expl_Coping_3","Expl_Coping_4","Expl_Coping_5","Expl_Coping_6","Expl_Coping_7","Expl_Coping_8","Expl_Coping_9","Expl_Coping_10","Expl_Coping_11","Expl_Coping_12","Expl_Coping_13","Expl_Coping_14","Expl_Coping_15","Expl_Coping_16","Expl_coping_txt","Expl_media_1","Expl_media_2","Expl_media_3","Expl_media_4","Expl_media_5","Expl_media_6","Final_open","PSS10_avg","SLON3_avg","neu","ext","ope","agr","con","SPS_avg","Scale_UCLA_TRI_avg"
"11",1010,2020-06-15 23:33:01,"JA",30,"Female","PhD/Doctorate","College degree","Full time employed","Japan","no","Osaka","Single",0,"Yes","Life carries on with minor changes",0,0,NA,"Program D","No",3,4,3,2,1,3,2,2,3,4,1,3,3,5,6,4,5,6,7,4,5,4,5,4,4,5,4,3,5,4,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,2,4,1,2,4,4,2,5,2,2,2,6,2,3,5,99,5,3,3,4,99,99,4,4,6,6,6,4,2,3,2,1,4,4,4,5,1,NA,5,3,3,5,5,3,5,5,3,5,3,3,4,4,4,4,5,5,5,2,3,3,4,4,2,3,NA,4,2,4,4,4,2,NA,3.7,2.33333333333333,4.33333333333333,3.33333333333333,3.33333333333333,2,1.66666666666667,4.2,NA
"12",620,2020-06-16 16:10:28,"IT",49,"Female","College degree, bachelor, master","Up to 12 years of school","Self-employed","Italy","no","Liguria","Married/cohabiting",0,"Yes","Life carries on with minor changes",1,0,"Program B",NA,"No",3,3,3,4,3,3,3,4,5,3,4,2,1,7,7,6,6,6,7,5,6,3,NA,4,NA,3,3,5,5,4,5,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,3,6,6,4,3,5,5,2,4,6,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2.33333333333333,5,5,4.33333333333333,5,3,NA,NA
"13",1832,2020-06-15 14:10:55,"KO",44,"Male","College degree, bachelor, master","College degree","Full time employed","Canada","yes","Vancouver","Married/cohabiting",5,"No","Life carries on as usual",NA,NA,NA,NA,NA,4,3,3,3,3,3,4,2,5,4,1,2,4,7,7,10,10,10,9,8,8,NA,NA,NA,NA,NA,5,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,5,5,5,5,5,5,5,2,5,5,5,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,4,3,2,NA,3.4,2.33333333333333,2,4,5,5,5,NA,NA
"14",855,2020-06-16 13:21:19,"SV",46,"Female","College degree, bachelor, master","Up to 6 years of school","Full time employed","Sweden","no","Halmstad","Single",0,"No","Life carries on with minor changes",0,0,NA,"Program C","No",2,4,3,4,4,3,4,3,2,2,2,2,2,5,9,7,7,7,9,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2,NA,NA,NA,NA,NA,NA,NA
"15",1071,2020-06-16 12:04:53,"SAR",38,"Female","Up to 12 years of school","Up to 6 years of school","Self-employed","Argentina","no","Córdoba","Married/cohabiting",0,"Yes","Life carries on with minor changes",NA,NA,"Program B",NA,"No",2,2,2,5,4,1,4,5,2,2,1,1,1,6,9,3,7,3,7,7,3,2,3,3,4,4,5,5,6,5,2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,5,6,6,4,5,5,5,1,5,6,5,1,5,2,2,99,4,3,4,5,2,99,4,2,4,2,2,2,2,2,2,2,3,2,99,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,1,3,5,5,5.66666666666667,5.33333333333333,NA,NA
"16",385,2020-06-16 11:21:07,"SME",36,"Male","PhD/Doctorate","Up to 12 years of school","Full time employed","Mexico","yes","Ciudad de México","Married/cohabiting",1,"Yes","Isolated",1,1,"Program B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",161,2020-06-16 09:13:22,"ID",24,"Female","College degree, bachelor, master","College degree","Part time employed","Indonesia","no","Jawa barat","Single",0,"Yes","Life carries on with minor changes",0,0,NA,"Program D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",208,2020-06-16 07:14:53,"FI",44,"Female","Up to 12 years of school","Up to 12 years of school","Full time employed","Finland","no","Uusimaa","Married/cohabiting",0,"No","Life carries on with minor changes",3,0,"Program A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",579,2020-06-15 06:09:02,"BG",23,"Female","Some College, short continuing education or equivalent","College degree","Part time employed","Bulgaria","no","<U+0412><U+0430><U+0440><U+043D><U+0430>","Single",1,"Yes","Life carries on with minor changes",0,0,NA,"Program D","No",3,3,3,3,3,3,3,3,3,3,2,NA,NA,3,4,NA,1,NA,0,NA,NA,5,6,6,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,5,NA,NA,NA,5,NA
"20",9669,2020-06-16 03:53:18,"EN",70,"Female","College degree, bachelor, master","Up to 9 years of school","Self-employed","Australia","no","Victoria","Divorced/widowed",0,"No","Life carries on with minor changes",NA,NA,NA,"Program D","No",1,1,2,5,5,2,5,5,2,1,2,1,1,8,10,8,9,6,9,5,10,4,4,3,5,6,5,5,5,4,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,5,4,4,3,4,5,3,1,5,4,5,1,5,4,4,99,99,1,4,99,99,99,6,2,2,1,2,3,1,1,4,4,99,2,1,3,4,NA,4,5,3,6,5,4,3,4,5,5,4,4,5,2,4,2,1,1,1,4,1,4,3,4,1,4,NA,5,4,4,2,2,2,"So many webinars and zoom meetings seem to be eating up my time. Also, I have spoken to friends a lot more - good for me, good for them but again has eaten into my time for work and normal home responsibilities",1.3,1.33333333333333,2.33333333333333,4,4,5,5.33333333333333,4.4,NA
"21",1381,2020-06-14 22:42:59,"ID",42,"Female","PhD/Doctorate","College degree","Part time employed","Indonesia","no","Jawa Timur","Married/cohabiting",3,"Yes","Life carries on with minor changes",0,0,"Program A",NA,"No",2,3,3,4,4,2,4,4,2,2,2,2,1,6,8,4,4,5,2,7,2,3,4,4,6,5,2,3,4,4,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,5,4,5,4,5,5,3,5,4,5,3,5,3,6,5,3,3,4,5,2,5,5,3,4,5,4,2,2,1,2,2,3,2,2,2,4,NA,5,5,5,6,6,5,4,6,5,5,3,4,4,3,2,5,2,2,2,4,5,4,5,4,5,3,NA,4,5,4,4,3,2,NA,2.2,1.66666666666667,4,3.66666666666667,4.66666666666667,4.33333333333333,4.66666666666667,5.2,NA
"22",1775,2020-06-14 19:09:45,"SME",36,"Female","College degree, bachelor, master","None","Part time employed","Mexico","no","México","Divorced/widowed",1,"Yes","Life carries on with minor changes",NA,NA,"Program A",NA,"Not sure",3,2,2,4,5,2,4,3,2,2,3,2,2,5,5,2,0,3,5,5,3,6,6,6,6,5,1,5,6,6,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,6,4,5,5,6,5,5,1,5,6,5,1,6,99,99,5,99,3,99,99,99,99,5,99,5,5,99,99,99,99,99,99,5,5,5,4,99,NA,6,5,5,6,6,6,6,5,5,6,4,5,5,6,4,4,2,2,5,5,5,4,6,5,5,5,NA,4,4,5,4,4,4,"Los costos elevados en productos que ahora son indispensables como los cubrebocas y antibacteriales. La poca consciencia de vecinos irresponsables que no llevan a cabo las medidas precautorias ante esta situación.",2.1,2.33333333333333,3,3.66666666666667,5.33333333333333,5.66666666666667,5.66666666666667,5.6,NA
"23",1753,2020-06-14 18:59:24,"EN",29,"Male","College degree, bachelor, master","PhD/Doctorate","Student","Afghanistan","yes","Q","Single",1,"Yes","Isolated",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
